display_ref,candidate_display_ref,hypothesis_id,candidate_id,group_id,parent_scope,path,timeframe,family,direction,state,report_status,requirement_id,parent_family_hypothesis_id,p004_status,p005_status,p005_reason,snapshot_content_sha256,unresolved_reasons
H0001,C0001,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:5-6-7-8:evaluate-as:SINGLE_ZIGZAG,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:5-6-7-8,af5160f31ebd343446498cc9238c586be59017805cc38874731a525eec71bfe9,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0002,C0001,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:5-6-7-8:evaluate-as:FLAT,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:5-6-7-8,af5160f31ebd343446498cc9238c586be59017805cc38874731a525eec71bfe9,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0003,C0002,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:6-7-8-9:evaluate-as:SINGLE_ZIGZAG,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:6-7-8-9,9b553dd38742bf37b44beac60ac781434d40c9df4aeeea21701be1bf95156c7a,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0004,C0002,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:6-7-8-9:evaluate-as:FLAT,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:6-7-8-9,9b553dd38742bf37b44beac60ac781434d40c9df4aeeea21701be1bf95156c7a,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0005,C0003,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:7-8-9-10:evaluate-as:SINGLE_ZIGZAG,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:7-8-9-10,22718d06332f68acf3629f1b1baae76f7cbfbc261b575ceccacf7f449edf0364,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0006,C0003,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:7-8-9-10:evaluate-as:FLAT,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:THREE_SEGMENT_HYPOTHESIS:7-8-9-10,22718d06332f68acf3629f1b1baae76f7cbfbc261b575ceccacf7f449edf0364,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0007,C0004,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10:evaluate-as:TRIANGLE,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10,8380762841c779518da2cc570d0cc55af97d9c3001d4ce68bc0f6ee0d0a2ad1d,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,TRIANGLE,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0008,C0004,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10:evaluate-as:ENDING_DIAGONAL,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10,8380762841c779518da2cc570d0cc55af97d9c3001d4ce68bc0f6ee0d0a2ad1d,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,ENDING_DIAGONAL,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0009,C0004,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:normal:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10:evaluate-as:NORMAL_IMPULSE,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10,8380762841c779518da2cc570d0cc55af97d9c3001d4ce68bc0f6ee0d0a2ad1d,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,parent,1mo,NORMAL_IMPULSE_PARTIAL,DOWN,P004_VIOLATED_STRUCTURALLY_INVALID_HYPOTHESIS,REJECTED_EXACT_HYPOTHESIS_P004,,,RULE_VIOLATED,UNRESOLVED,SUFFICIENCY_NOT_ESTABLISHED_NO_NEGATIVE_INFERENCE,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,"[""P005_UNRESOLVED_METHODOLOGY_DEPENDENCY"", ""P006_UNRESOLVED_METHODOLOGY_DEPENDENCY_CONFLICT"", ""COMPLETE_FAMILY_VALIDATION_UNAVAILABLE""]"
H0010,C0005,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:scoped-families:child:3:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:scoped-children:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:child:internals:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10:evaluate-as:TRIANGLE:child:5:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:SINGLE_ZIGZAG,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:scoped-children:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:child:internals:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10:evaluate-as:TRIANGLE:child:5:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,7b329eadb4801d88334b3da67abb7c48e3858c39699190efba57daf45f14c676,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:child:internals:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10:evaluate-as:TRIANGLE:child:5,NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:family:NVDA-GEOMETRIC-SWING-CANDIDATE-QUALITY-V1:scale-2:swing:5:FIVE_SEGMENT_HYPOTHESIS:5-6-7-8-9-10:evaluate-as:TRIANGLE,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
