display_ref,candidate_display_ref,hypothesis_id,candidate_id,group_id,parent_scope,path,timeframe,family,direction,state,report_status,requirement_id,parent_family_hypothesis_id,p004_status,p005_status,p005_reason,snapshot_content_sha256,unresolved_reasons
H0001,C0001,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:SINGLE_ZIGZAG,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,89ed7e93c57b64136898fedbfa718a73bcd382d1797b5f3a9a38b485034427bf,region-1-1,level-0,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0002,C0001,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,89ed7e93c57b64136898fedbfa718a73bcd382d1797b5f3a9a38b485034427bf,region-1-1,level-0,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0003,C0002,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:1-2-3-4:evaluate-as:SINGLE_ZIGZAG,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:1-2-3-4,c6a44adbff62b4a4e66544a735e746881e562bc7dad81e1d0b5c230486c8bbc0,region-1-1,level-0,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0004,C0002,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:1-2-3-4:evaluate-as:FLAT,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:1-2-3-4,c6a44adbff62b4a4e66544a735e746881e562bc7dad81e1d0b5c230486c8bbc0,region-1-1,level-0,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0005,C0003,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:2-3-4-5:evaluate-as:SINGLE_ZIGZAG,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:2-3-4-5,4a0b9492d86484f66aeb2a63637b05d457daa1af960e7aa692985262e87bed6a,region-1-1,level-0,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0006,C0003,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:2-3-4-5:evaluate-as:FLAT,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:2-3-4-5,4a0b9492d86484f66aeb2a63637b05d457daa1af960e7aa692985262e87bed6a,region-1-1,level-0,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0007,C0004,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:FIVE_SEGMENT_HYPOTHESIS:0-1-2-3-4-5:evaluate-as:TRIANGLE,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:FIVE_SEGMENT_HYPOTHESIS:0-1-2-3-4-5,9090bb11501891e78d9ca556227835b821692ab65c331dc02fba55d417ad3905,region-1-1,level-0,1mo,TRIANGLE,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0008,C0004,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:FIVE_SEGMENT_HYPOTHESIS:0-1-2-3-4-5:evaluate-as:ENDING_DIAGONAL,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:FIVE_SEGMENT_HYPOTHESIS:0-1-2-3-4-5,9090bb11501891e78d9ca556227835b821692ab65c331dc02fba55d417ad3905,region-1-1,level-0,1mo,ENDING_DIAGONAL,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0009,C0004,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:normal:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:FIVE_SEGMENT_HYPOTHESIS:0-1-2-3-4-5:evaluate-as:NORMAL_IMPULSE,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:FIVE_SEGMENT_HYPOTHESIS:0-1-2-3-4-5,9090bb11501891e78d9ca556227835b821692ab65c331dc02fba55d417ad3905,region-1-1,level-0,1mo,NORMAL_IMPULSE_PARTIAL,UP,P004_SATISFIED_WITH_UNRESOLVED_METHODOLOGY_DEPENDENCIES,PARTIAL_REVIEW_UNRESOLVED_FAMILY,,,RULE_SATISFIED,UNRESOLVED,ZERO_OR_OPPOSING_ROLE_MOVEMENT,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,"[""P005_UNRESOLVED_METHODOLOGY_DEPENDENCY"", ""P006_UNRESOLVED_METHODOLOGY_DEPENDENCY_CONFLICT"", ""COMPLETE_FAMILY_VALIDATION_UNAVAILABLE""]"
H0010,C0005,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:families:child:3:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:children:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:SINGLE_ZIGZAG,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:children:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,4a5fc593d4a19407b4f6c33142f84891c2af8afb9c8ec29be7df4eac41d49d19,region-1-1,level-1,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0011,C0005,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:families:child:3:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:children:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:children:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,4a5fc593d4a19407b4f6c33142f84891c2af8afb9c8ec29be7df4eac41d49d19,region-1-1,level-1,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0012,C0006,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:families:child:3:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:children:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4:evaluate-as:SINGLE_ZIGZAG,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:children:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4,ff70ca4ed4139abd82667a8844bef7e4bd7b0aa87e62ca8a8c1a69fe98962793,region-1-1,level-1,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:level-1:internals:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT:child:1,NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:families:NVDA-FULL-HISTORY-HIERARCHICAL-HYPOTHESES-V1:region-1-1:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
